Query,KCC Ans
My buffalo's digestion is abnormal. What should I do?,"For abnormal digestion in your buffalo, consult a veterinarian. They may recommend Nablon powder (20 grams daily) and an Albendazole tablet, but professional treatment is key."
What are the best brinjal varieties?,"Top brinjal varieties include Pant Samrat, Pant Rituraj, Pusa Kranti, and Pusa Uttam. Choose based on your climate and market demand."
Red ants are climbing up my grape roots. How do I stop them?,"To control red ants in your grapes, apply neem cake at 250 kg per hectare around the roots. You can also use Imidacloprid at 0.5 ml per liter of water as a soil drench."
My buffalo's stomach is bloated. What should I do?,"For a bloated buffalo, consult a veterinarian immediately. They may recommend 50 ml turpentine oil mixed with 400 ml linseed oil, but professional treatment is critical."
My tomatoes have black spots. How do I treat them?,"For black spots on tomatoes, spray Mancozeb at 2 grams per liter of water every 7-10 days. Remove affected fruits and ensure good air circulation."
There are pests in my spinach. How do I control them?,"To control pests in your spinach, spray Azadirachtin (neem-based) at 2 ml per liter of water. Apply early in the morning to keep it safe for consumption."
There's a worm in my mango. How do I stop it?,"To control worms in your mangoes, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use pheromone traps to monitor pests."
How can I control pests in my mango trees?,"To control pests in your mango trees, spray Azadirachtin (neem-based) at 2 ml per liter of water. Apply early in the morning and use yellow sticky traps."
There's a pest infestation in my onions. How do I manage it?,"To control pests in your onions, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
There's a bug in my lemon tree. How do I control it?,"To control bugs in your lemon tree, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
My Malta fruits are falling early. What should I do?,"To prevent early Malta fruit drop, spray Planofix at 5 ml per liter of water. Ensure proper irrigation and apply a balanced fertilizer to support fruit retention."
My chilies are rotting. What's wrong?,Chili rot is likely fungal. Spray Carbendazim at 2 grams per liter of water every 7-10 days. Remove affected fruits and ensure good drainage.
My guava trees are infested with insects. How do I control them?,"To control insects in your guava trees, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
My cauliflower is rotting. What should I do?,"For cauliflower rot, spray Copper Oxychloride at 3 grams per liter of water every 7-10 days. Remove affected parts and ensure good drainage."
How can I control Kurmula in my potato field?,"To control Kurmula (termites) in your potatoes, apply Imidacloprid at 0.5 ml per liter of water as a soil drench. Add neem cake at 250 kg per hectare during planting."
There's a worm in my litchi plant. How do I stop it?,"To control worms in your litchi plant, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
There's an insect in my arbi crop. How do I control it?,"To control insects in your arbi (taro), spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
When's the best time to sow brinjal?,Sow brinjal in June to July for the best yield. Use well-drained soil and ensure regular watering during early growth.
My chilies are infested with insects. How do I manage them?,"To control insects in your chilies, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
How much fertilizer should I apply to my mango trees?,"For mango trees, apply 10 kg cow dung manure, 100 grams nitrogen, 75 grams phosphorus, and 50 grams potassium per tree in December. Split applications for mature trees."
How can I learn to cultivate mushrooms?,"To learn mushroom cultivation, contact your nearest Krishi Vigyan Kendra (KVK) or GB Pant University in Pantnagar for training and guidance."
There's a pest in my peach trees. How do I control it?,"To control pests in your peach trees, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
What are the best chili varieties?,"Top chili varieties include Yellow Wonder, Supriya, Kiran, and Agni. Choose based on your climate and market demand."
There's an insect in my brinjal. How do I stop it?,"To control insects in your brinjal, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use pheromone traps to manage pests."
What are the best chili varieties?,"Top chili varieties include Pant C-1, Pusa Jwala, and Pusa Sadabahar. Choose based on your climate and market demand."
When's the best time to sow ginger?,Sow ginger from April 15 to June 15 for the best yield. Use well-drained soil and treat seeds with Carbendazim at 2 grams per kg.
There's a pest affecting my brinjal. How do I control it?,"To control pests in your brinjal, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use pheromone traps to manage fruit borers."
My pomegranate fruits are infested with insects. How do I stop them?,"To control insects in your pomegranates, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use pheromone traps to monitor pests."
My papaya plant is rotting. What should I do?,"For papaya plant rot, spray Copper Oxychloride at 3 grams per liter of water every 7-10 days. Ensure well-drained soil and remove affected parts."
My animal has diarrhea. What should I do?,"For an animal with diarrhea, consult a veterinarian immediately. They may recommend celery salt or electrolyte solutions, but professional treatment is critical."
There are pests in my stored wheat. How do I control them?,"To control pests in stored wheat, fumigate with aluminum phosphide tablets wrapped in cotton, following safety guidelines. Ensure proper ventilation."
My lemons are falling. What should I do?,"To prevent lemon fruit drop, spray Naphthalene Acetic Acid (NAA) at 5 ml per liter of water. Ensure proper irrigation and nutrient supply."
My litchi fruits are falling. What can I do?,"For falling litchi fruits, spray Mancozeb at 2 grams per liter of water every 7-10 days to control fungal issues. Ensure proper irrigation and nutrient supply."
What are the best fish varieties for farming?,"Top fish varieties for farming include Rohu, Common Carp, and Silver Carp. Contact a fisheries expert at GB Pant University for guidance."
There are insects in my gourd. How do I control them?,"To control insects in your gourd, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
When's the best time to sow capsicum?,Sow capsicum in August to September for the best yield. Use well-drained soil and ensure regular watering during early growth.
My hen is sick. What should I do?,"For a sick hen, isolate it from healthy birds and consult a veterinarian for a proper diagnosis and treatment plan. Ensure clean water and feed."
My onion leaves have turned yellow. What's wrong?,Yellowing onion leaves could be fungal. Spray Mancozeb at 2.5 grams per liter of water every 7-10 days. Ensure good drainage to prevent further issues.
What's the ideal planting distance for tomatoes?,Plant tomatoes at a spacing of 45 cm x 60 cm to ensure healthy growth and good air circulation.
My capsicum fruits are getting damaged. How do I fix this?,"To control damage to capsicum fruits, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
There are pests in my peas. How do I control them?,"To control pests in your peas, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pod borers."
What are the best paddy varieties?,"Top paddy varieties include BL-206, BL-267, BL-208, BL-209, and BL-96. Choose based on your region and water availability."
My animal isn't getting warm. What should I do?,"For an animal not cycling (in heat), consult a veterinarian. They may recommend Lasex (5 ml vaginally), but professional treatment is essential."
My sponge gourd is rotting. What should I do?,"For sponge gourd rot, spray Mancozeb at 2 grams per liter of water every 7-10 days. Remove affected parts and ensure good drainage."
My paddy has blight disease. What should I do?,"For paddy blight, spray Mancozeb at 2 grams per liter of water every 7-10 days. Avoid excessive nitrogen and ensure good drainage."
My guava tree is drying. What's wrong?,A drying guava tree could have fungal issues. Spray Copper Oxychloride at 2 grams per liter of water every 10 days. Ensure proper irrigation and nutrient supply.
My tomato fruits are infested with insects. How do I control them?,"To control insects in your tomatoes, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
How much seed is needed for a paddy nursery?,"For a paddy nursery, use 500-600 grams of seeds per 10 square meters to ensure healthy seedlings for transplanting."
There's an insect in my plum leaves. How do I control it?,"To control insects in your plum leaves, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
There's a worm in my litchi sack. How do I stop it?,"To control worms in your litchi when fruits are watery, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use pheromone traps."
There's a bug in my tomato. How do I control it?,"To control bugs in your tomatoes, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
How can I control pests in my roses?,"To control pests in your roses, spray neem-based Nimbecidine at 5 ml per liter of water. Apply early in the morning and remove affected leaves."
My spinach has black spots. What should I do?,"For black spots on spinach, spray Carbendazim at 2 grams per liter of water every 7-10 days. Remove affected leaves and ensure good air circulation."
My onions are turning yellow. What's wrong?,Yellowing onions could be fungal. Spray Mancozeb at 2 grams per liter of water every 7-10 days. Ensure good drainage to prevent further issues.
When should I plant corn at higher altitudes?,"In high-altitude areas, sow maize by mid-April for the best yield. Use well-drained soil and ensure regular watering."
My bitter gourd is infested with pests. How do I control them?,"To control pests in your bitter gourd, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
My tomato and spinach leaves are peeling due to too much urea. What should I do?,"For peeling leaves due to excess urea, irrigate your field thoroughly to flush out excess nitrogen. Adjust fertilizer use and test soil nutrient levels."
What are the best paddy varieties?,Top paddy varieties include Pant Dhan-4 and Govind Dhan. Choose based on your region and water availability for the best yield.
My apple tree blossoms are falling. What should I do?,"To reduce apple blossom drop, spray Planofix at 5 ml per liter of water before flowering. Ensure proper irrigation and nutrient supply."
My potatoes have blight. How do I treat it?,"For potato blight, spray Mancozeb at 2 grams per liter of water every 7-10 days. Remove affected leaves and ensure good drainage to prevent spread."
When's the best time to sow soybeans?,Sow soybeans in the first week of May for the best yield. Use well-drained soil and ensure regular watering during early growth.
Wild boars are damaging my potato crop. What can I do?,"To protect your potatoes from wild boars, contact your District Horticulture Officer (DHO) or District Magistrate's office for repellent sprays or fencing solutions."
My guava fruits are falling. What should I do?,"To prevent guava fruit drop, spray Planofix at 5 ml per liter of water. Ensure proper irrigation and apply a balanced fertilizer to support fruit retention."
There's an insect in my bitter gourd leaves. How do I control it?,"To control insects in your bitter gourd leaves, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps."
There's an insect infestation in my French beans. How do I manage it?,"To control insects in your French beans, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
My guava fruits are not lasting. What should I do?,"To help guava fruits last, spray Planofix at 5 ml per liter of water. Ensure proper irrigation and apply a balanced fertilizer to support fruit retention."
When's the best time to harvest apples?,Harvest apples in December when the fruits are fully mature and firm. Check for color and taste to ensure optimal quality.
My papaya fruits are falling. What should I do?,"To prevent papaya fruit drop, spray Planofix at 2 ml per liter of water. Ensure proper irrigation and apply a balanced fertilizer to support fruit retention."
There's lice in my goat's body. What should I do?,"For lice on your goat, apply Biotex (anti-parasitic) after bathing, following the product instructions. Consult a veterinarian for proper treatment."
What's the plant geometry for Dhaincha?,"For Dhaincha, use a plant geometry of 100 cm row-to-row spacing to ensure healthy growth and soil enrichment."
How should I treat soybean seeds?,Treat soybean seeds with Thiram WP at 2 grams per kg and Carbendazim 50 WP at 1 gram per kg before sowing to prevent fungal issues.
What are the best paddy varieties for hilly areas with less water?,"Top paddy varieties for hilly areas with low water include VL Dhan-206, VL Dhan-207, Pant Majhera Dhan-7, and Vivek Dhan-154."
My pumpkin has Kuril Asita disease. What should I do?,"For Kuril Asita disease in pumpkin, remove and burn affected plants. Spray Sulfur (Sulfex) at 2 grams per liter of water every 7-10 days to control spread."
There's Kurmula in my capsicum field. How do I control it?,"To control Kurmula (termites) in your capsicum, apply Imidacloprid at 0.5 ml per liter of water as a soil drench. Add neem cake at 250 kg per hectare."
There are pests in my tomatoes. How do I manage them?,"To control pests in your tomatoes, spray Spinosad at 0.5 ml per liter of water with 500 liters per hectare. Use yellow sticky traps to monitor pests."
How does a rotary power tiller work?,"A rotary power tiller uses a moving rotary screw blade to break up soil, making it ideal for tilling and preparing fields. Follow the manufacturer's guide for safe operation."
How can I control pests in my turmeric?,"To control pests in your turmeric, spray Mancozeb at 2.5 grams per liter of water 2-3 times at 10-day intervals. Ensure well-drained soil."
There are pests in my pomegranates. How do I control them?,"To control pests in your pomegranates, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use pheromone traps to monitor pests."
What are the best rice varieties for non-irrigated hilly areas?,"Top rice varieties for non-irrigated hilly areas include Vivek Dhan-154, VL Dhan-206, VL Dhan-207, VL Dhan-208, VL Dhan-209, and Pant Majhera."
How can I control potato tuber borer pests?,"To control potato tuber borers, apply Imidacloprid at 0.5 ml per liter of water as a soil drench during irrigation. Use pheromone traps to monitor pests."
There's a pod borer in my pea crop. How do I control it?,"To control pod borers in your peas, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use pheromone traps to monitor pests."
When's the best time to sow ginger?,Sow ginger in June to July for the best yield. Use well-drained soil and treat seeds with Carbendazim at 2 grams per kg.
My capsicum has fruit rot disease. What should I do?,"For capsicum fruit rot, spray Mancozeb (Dithane M-45) at 2 grams per liter of water starting 30 days after planting, every 7-10 days."
There's a hopper in my paddy. How do I control it?,"To control hoppers in your paddy, spray Imidacloprid at 0.2 ml per liter of water with 500 liters per hectare. Use sticky traps to monitor pest levels."
There's a pest in my litchi leaves. How do I control it?,"To control pests in your litchi leaves, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
What are the best paddy varieties for hilly areas?,"Top paddy varieties for hilly areas include VL Dhan-206, VL Dhan-207, VL Dhan-208, and Vivek Dhan-154. Choose based on water availability."
There's an insect in my potato leaves. How do I control it?,"To control insects in your potato leaves, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
There's a bug in my tomato. How do I stop it?,"To control bugs in your tomatoes, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
My rose leaves are yellowing. What's wrong?,Yellowing rose leaves could be fungal. Spray Mancozeb at 2 grams per liter of water every 7-10 days. Ensure proper irrigation and nutrient supply.
There's an insect in my gourd. How do I control it?,"To control insects in your gourd, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
Where can I get a Kisan Credit Card?,"To get a Kisan Credit Card, contact your nearest commercial bank manager with your land documents for application details and eligibility."
How much urea and potash should I use for chilies per hectare?,"For chilies, apply 140 kg urea, 90 kg phosphorus, and 65 kg potash per hectare. Split applications for better nutrient uptake."
When's the best time to plant fennel?,Sow fennel from the first week of September to mid-October for the best yield. Use well-drained soil and ensure regular watering.
My radish growth is poor. What should I do?,"For poor radish growth, spray a balanced fertilizer with micronutrients and control pests with Azadirachtin at 2 ml per liter of water. Ensure proper irrigation."
My bananas have black spots. What should I do?,"For black spots on bananas, spray Mancozeb (Dithane M-45) at 2 grams per liter of water every 7-10 days. Remove affected parts and ensure good drainage."
My sugarcane has Paran ant disease. What should I do?,"For Paran ant disease in sugarcane, spray Zineb at 2 grams per liter of water every 7-10 days. Consult a local expert for specific identification."
How can I control pests in my potatoes?,"To control pests in your potatoes, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
My mango fruits are falling. What should I do?,"To prevent mango fruit drop, spray Planofix at 0.5 ml per liter of water. Ensure proper irrigation and apply a balanced fertilizer to support fruit retention."
What are the best paddy varieties for uncultivated hilly areas?,"Top paddy varieties for uncultivated hilly areas include VL Dhan-207, VL Dhan-208, VL Dhan-209, Pant Majhera Dhan-7, and Vivek Dhan-154."
What are the early maize varieties?,"Top early maize varieties include Kanchan Gaurav, Surya, and Pant Hybrid-1. Choose based on your climate and market demand."
My mangoes are falling from the plant. What should I do?,"To prevent mango fruit drop, spray Planofix at 5 ml per liter of water. Ensure proper irrigation and apply a balanced fertilizer to support fruit retention."
My chilies are drying. What's wrong?,Drying chilies could be fungal. Spray Copper Oxychloride at 2.5 grams per liter of water every 7-10 days. Ensure proper irrigation and remove affected parts.
My bitter gourd is rotting. What should I do?,"For bitter gourd rot, spray Carbendazim at 2 grams per liter of water every 7-10 days. Remove affected fruits and ensure good drainage."
Which herbicide should I use for paddy?,"For weed control in paddy, apply Anilophos at 400 ml per hectare 7-10 days after sowing. Hand-weed small areas for sustainability."
Which herbicide should I use for corn?,"For weed control in corn, apply Atrazine at 1 kg per hectare 2-3 days after sowing. Follow label instructions and hand-weed small areas."
My lemon leaves are shrinking. What's causing this?,Shrinking lemon leaves could be fungal. Spray Copper Oxychloride at 3 grams per liter of water every 7-10 days. Ensure proper irrigation and nutrient supply.
My cucumber plant is turning yellow. What's wrong?,Yellowing cucumber plants could be fungal. Spray Copper Oxychloride at 2 grams per liter of water every 7-10 days. Ensure proper irrigation and drainage.
My mango tree is infested with insects. How do I control them?,"To control insects in your mango tree, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
There are pests in my cabbage. How do I control them?,"To control pests in your cabbage, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
What are the best paddy varieties?,"Top paddy varieties include VL Dhan-206, VL Dhan-163, and VL Dhan-221. Choose based on your region and water availability."
There are pests in my chilies. How do I manage them?,"To control pests in your chilies, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
What are the best ginger varieties?,"Top ginger varieties include Suprabha, Suruchi, Himgiri, and Varda Cheena. Choose based on your climate and market demand."
There are termites in my potato fields. How do I control them?,"To control termites in your potatoes, apply Imidacloprid at 0.5 ml per liter of water as a soil drench. Add neem cake at 250 kg per hectare during planting."
What's the pit size and plant distance for cherry trees?,"For cherry trees, use a pit size of 1m x 1m x 1m and maintain a plant distance of 4m x 4m for healthy growth."
My chilies are rotting. What should I do?,"For chili rot, spray Carbendazim at 2 grams per liter of water every 7-10 days. Remove affected fruits and ensure good drainage."
My potato leaves are drying. What's wrong?,Drying potato leaves could be fungal. Spray Mancozeb at 2 grams per liter of water every 7-10 days. Ensure proper irrigation and remove affected leaves.
There's a worm in my gourd. How do I control it?,"To control worms in your gourd, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
My buffalo's milk production is low. What should I do?,"For low milk production, provide a balanced diet with 50 grams of Glyco powder daily. Consult a veterinarian to check for health issues like mastitis."
What are the best hybrid maize varieties?,Top hybrid maize varieties include Pant Shankar Makka-1. Choose based on your climate and market demand for the best yield.
My okra has a fruit stem borer. How do I control it?,"To control fruit stem borers in your okra, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use pheromone traps to monitor pests."
My gourd is rotting. What should I do?,"For gourd rot, spray Carbendazim at 2 grams per liter of water every 7-10 days. Remove affected fruits and ensure good drainage."
How much fertilizer should I apply to ginger?,"For ginger, apply 100 kg nitrogen, 80 kg phosphorus, and 80 kg potassium per hectare. Use compost and split applications for better growth."
Insects are eating my okra stems and causing rot. What should I do?,"To control stem-eating insects in your okra, spray Spinosad at 0.5 ml per liter of water. For rot, apply Carbendazim at 2 grams per liter of water every 7-10 days."
There's a worm in my paddy. How do I control it?,"To control worms in your paddy, spray Spinosad at 0.5 ml per liter of water with 700 liters per hectare. Use sticky traps to monitor pest levels."
My mango has juice-sucking insects. How do I control them?,"To control juice-sucking insects in your mango, spray Imidacloprid at 0.5 ml per liter of water. Apply early in the morning and use sticky traps."
There's a worm biting the roots in my chili field. How do I stop it?,"To control root-biting worms in your chilies, apply Imidacloprid at 0.5 ml per liter of water as a soil drench. Ensure well-drained soil."
How can I learn about mushroom cultivation?,"To learn mushroom cultivation, contact your nearest Krishi Vigyan Kendra (KVK) or GB Pant University in Pantnagar for training and guidance."
I want to take a loan for buffalo farming. Where should I go?,"To get a loan for buffalo farming, contact your nearest bank or cooperative for details on agricultural loan schemes and eligibility."
There's a pest infestation in my oranges. How do I control it?,"To control pests in your oranges, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
There are pests on my tomato leaves. How do I manage them?,"To control pests on your tomato leaves, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
My chili plants are rotting. What should I do?,"For chili plant rot, spray Carbendazim at 2 grams per liter of water every 7-10 days. Ensure well-drained soil and remove affected parts."
There's a pest infestation in my sponge gourd. How do I control it?,"To control pests in your sponge gourd, spray Azadirachtin (neem-based) at 2 ml per liter of water. Apply early in the morning and use yellow sticky traps."
There are termites in my potato roots. How do I control them?,"To control termites in your potato roots, apply Imidacloprid at 0.5 ml per liter of water as a soil drench. Add neem cake at 250 kg per hectare."
My cow's left womb is swelling. What should I do?,"For a cow with womb swelling, consult a veterinarian immediately. They may recommend 400 ml linseed oil mixed with 50 ml turpentine oil, but professional treatment is critical."
My mango fruits have fallen. What should I do?,"To prevent future mango fruit drop, spray Planofix at 0.5 ml per liter of water. Ensure proper irrigation and apply a balanced fertilizer."
What are the best paddy varieties?,Top paddy varieties include VL-207 and VL-209. Choose based on your region and water availability for the best yield.
There are pests in my tomatoes. How do I control them?,"To control pests in your tomatoes, spray Dimethoate at 1 ml per liter of water every 10 days. Use yellow sticky traps to monitor pest levels."
My tomatoes are rotting. What should I do?,"For tomato rot, spray Mancozeb at 2 grams per liter of water every 7-10 days. Remove affected fruits and ensure good drainage."
My cow's leg is stiff. What should I do?,"For a cow with a stiff leg, wash the area with warm water and apply Mamitel cream. Consult a veterinarian for a proper diagnosis and treatment plan."
There's a worm in my cabbage. How do I control it?,"To control worms in your cabbage, spray Spinosad at 0.1 ml per liter of water with 500 liters per hectare. Use yellow sticky traps to monitor pests."
There's a pest in my Malta. How do I control it?,"To control pests in your Malta, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
How can I kill rats in my field?,"To control rats in your field, use Bromadiolone bait at 0.005% concentration in secure bait stations. Consult a local expert for safe application."
My cow has a fever. What should I do?,"For a cow with a fever, contact your nearest veterinarian immediately for a proper diagnosis and treatment plan. Keep the animal hydrated and comfortable."
There's an insect in my potato leaves. How do I control it?,"To control insects in your potato leaves, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
What are the best urad varieties?,"Top urad varieties include Pant Urd-19, Pant Urd-35, and Type-9. Choose based on your climate and market demand."
There are insects in my capsicum. How do I control them?,"To control insects in your capsicum, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
My banana plant is rotting. What should I do?,"For banana plant rot, spray Copper Oxychloride at 3 grams per liter of water every 7-10 days. Ensure well-drained soil and remove affected parts."
My cucumber bush is rotting. What should I do?,"For cucumber bush rot, spray Dimethoate at 1 ml per liter of water every 10 days. Ensure well-drained soil and remove affected parts."
My animal is eating less fodder. What should I do?,"For an animal eating less, consult a veterinarian. They may recommend B-Complex (30 ml) and Viol (10 ml) intramuscularly every other day for 3 doses, but professional guidance is key."
My chili leaves are turning. What's causing this?,Turning chili leaves could be due to pests. Spray Dimethoate at 1 ml per liter of water every 10 days. Ensure proper irrigation and nutrient supply.
How much fertilizer should I add to a paddy nursery?,"For a paddy nursery, apply 50-60 kg compost and 100 kg nitrogen, 80 kg phosphorus per 10 square meters to ensure healthy seedlings."
There are green insects in my gourd leaves. How do I control them?,"To control green insects in your gourd leaves, spray Spinosad at 0.5 ml per liter of water with 500 liters per hectare. Use yellow sticky traps to monitor pests."
How can I control weeds in my paddy field?,"For weed control in paddy, apply Butachlor at 3 liters per hectare during planting. Hand-weed after 20-25 days for small areas."
My pomegranate fruits are falling. What should I do?,"To prevent pomegranate fruit drop, spray Planofix at 5 ml per liter of water. Ensure proper irrigation and apply a balanced fertilizer to support fruit retention."
My peaches are falling. What should I do?,"To prevent peach fruit drop, spray Planofix at 5 ml per liter of water. Ensure proper irrigation and apply a balanced fertilizer to support fruit retention."
There's a pest attack in my mango. How do I control it?,"To control pests in your mango, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
What are the best rice varieties?,"Top rice varieties include IR 24, Majhera, Goindsaket, Pant Sugandha 15, 17, 18, and Manhar. Choose based on your region and water availability."
There are red and black spots on my capsicum. What should I do?,"For red and black spots on capsicum, spray Dithane M-45 at 2 grams per liter of water starting 30 days after sowing, every 7-10 days."
How much Mandua seed is needed per hectare?,"For Mandua (finger millet), use 160-200 grams of seed per hectare for direct sowing to ensure optimal plant density."
There's an insect problem in my brinjal. How do I control it?,"To control insects in your brinjal, spray Azadirachtin (neem-based) at 2 ml per liter of water. Apply early in the morning and use pheromone traps."
There's a worm in my gourd. How do I control it?,"To control worms in your gourd, spray Spinosad at 0.5 ml per liter of water with 500 liters per hectare. Use yellow sticky traps to monitor pests."
My jackfruit is rotting. What should I do?,"For jackfruit rot, spray Copper Oxychloride at 3 grams per liter of water every 7-10 days. Remove affected fruits and ensure good drainage."
There are pests in my tomatoes. How do I control them?,"To control pests in your tomatoes, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
My buffalo's lion is broken. What should I do?,"For a buffalo with a broken limb, consult a veterinarian immediately for proper treatment. Clean the area with KMnO4 and apply Hemax cream under vet guidance."
There are insects in my tomatoes. How do I control them?,"To control insects in your tomatoes, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
My bitter gourd is drying up. What should I do?,"For drying bitter gourd, spray Azadirachtin (neem-based) at 2 ml per liter of water to control pests. Ensure proper irrigation and check for fungal issues."
How can I control pests in my paddy?,"To control pests in your paddy, apply Imidacloprid at 0.5 ml per liter of water with 700 liters per hectare during irrigation. Use sticky traps to monitor pests."
There's yellowing in my paddy nursery. What should I do?,"For yellowing in your paddy nursery, apply urea at 20 kg per hectare and zinc sulphate at 5 kg per hectare. Ensure proper irrigation and nutrient balance."
There are pests in my stored wheat. How do I control them?,"To control pests in stored wheat, fumigate with aluminum phosphide tablets wrapped in cotton, following safety guidelines. Ensure proper ventilation."
My fish pond is filled with Vallisneria. What should I do?,"To control Vallisneria in your fish pond, manually remove excess weeds or apply 2,4-D at recommended rates. Consult a fisheries expert for safe application."
My mango fruits are drying and falling. What should I do?,"For drying and falling mango fruits, spray Copper Oxychloride at 3 grams per liter of water every 7-10 days. Ensure proper irrigation and nutrient supply."
My ginger is rotting at the roots. What should I do?,"For ginger root rot, apply Carbendazim at 3 grams per liter of water as a soil drench. Ensure well-drained soil and avoid overwatering."
What are the best ladyfinger varieties?,"Top ladyfinger varieties include Arka Abhay, Arka Anamika, Azad Kranti, Ko-1, MDU 1, Gujarat Bhindi, Harbhajan Bhindi, Hisar Unnat, and Parbhani Kranti."
My ginger plant is burning. What should I do?,"For burning ginger plants, spray Planofix at 2 ml per liter of water to reduce stress. Ensure proper irrigation and check for fungal issues with Carbendazim."
Which plant prevents land erosion and provides wood?,Bamboo and eucalyptus are excellent for preventing land erosion and providing wood. Plant them in July-September for the best growth.
There's a bug in my cabbage. How do I control it?,"To control bugs in your cabbage, spray Spinosad at 0.1 ml per liter of water with 500 liters per hectare. Use yellow sticky traps to monitor pests."
My buffalo has digestive problems. What should I do?,"For buffalo digestive issues, consult a veterinarian. They may recommend Nablon powder or other treatments, but professional diagnosis is critical."
There's a pest infestation in my chilies. How do I control it?,"To control pests in your chilies, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
When's the best time to sow soybeans?,Sow soybeans in July for the best yield. Use well-drained soil and ensure regular watering during early growth.
There's a worm in my cabbage. How do I control it?,"To control worms in your cabbage, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
How much paddy seed should I use per hectare?,"For paddy, use 2 grams of seed per square meter for direct sowing in hilly areas, except in valleys, to ensure optimal plant density."
There are termites in my brinjal roots. How do I control them?,"To control termites in your brinjal roots, apply Imidacloprid at 0.5 ml per liter of water as a soil drench. Add neem cake at 250 kg per hectare."
My guava flowers are falling. What should I do?,"To prevent guava flower drop, spray Planofix at 5 ml per liter of water. Ensure proper irrigation and apply a balanced fertilizer to support blooming."
What are the best rice varieties for high altitudes?,"Top rice varieties for high altitudes include VL Dhan-207, VL Dhan-208, VL Dhan-209, and Vivek Dhan-154. Choose based on water availability."
My gourd is rotting. What should I do?,"For gourd rot, spray Mancozeb at 2 grams per liter of water every 7-10 days. Remove affected fruits and ensure good drainage."
